Unique.ID,NA0012483535.IgG,NA0012483906.IgG,NA0012483927.IgG,NA0012484478.IgG,NA0012484499.IgG,NA0012484752.IgG,NA0012484765.IgG,NA0012483883.IgG,NA0012483591.IgG,NA0012483754.IgG,NA0012483419.IgG,NA0012483315.IgG,NA0012483311.IgG,NA0012483533.IgG,NA0012483544.IgG,NA0012484280.IgG,NA0012484311.IgG,NA0012484502.IgG,NA0012484569.IgG,NA0012484790.IgG,NA0012484774.IgG,NA0012483599.IgG,NA0012483640.IgG,NA0012483771.IgG,NA0012483450.IgG,NA0012483434.IgG,NA0012483665.IgG,NA0012483662.IgG,NA0012483506.IgG,NA0012484306.IgG,NA0012484290.IgG,NA0012484575.IgG,NA0012484591.IgG,NA0012484413.IgG,NA0012483568.IgG,NA0012483616.IgG,NA0012483847.IgG,NA0012483431.IgG,NA0012483435.IgG,NA0012483356.IgG,NA0012483684.IgG,NA0012483685.IgG,NA0012483529.IgG,NA0012484462.IgG,NA0012484472.IgG,NA0012484589.IgG,NA0012484753.IgG,NA0012483576.IgG,NA0012483571.IgG,NA0012483868.IgG,NA0012483872.IgG,NA0012483783.IgG,NA0012483775.IgG,NA0012483340.IgG,NA0012483326.IgG,NA0012483936.IgG,NA0012483955.IgG,NA0012483900.IgG,NA0012483963.IgG,NA0012484506.IgG,NA0012483948.IgG,NA0012484756.IgG,NA0012483967.IgG,NA0012483873.IgG,NA0012483793.IgG,NA0012483632.IgG,NA0012483808.IgG,NA0012483410.IgG,NA0012483816.IgG,NA0012483319.IgG,NA0012483833.IgG,NA0012483981.IgG,NA0012483821.IgG,NA0012483369.IgG,NA0012484009.IgG,NA0012484026.IgG,NA0012484107.IgG,NA0012484106.IgG,NA0012486630.IgG,NA0012486631.IgG,NA0012485588.IgG,NA0012485572.IgG,NA0012486098.IgG,NA0012486108.IgG,NA0012485736.IgG,NA0012486252.IgG,NA0012483535.IgA,NA0012483906.IgA,NA0012483927.IgA,NA0012484478.IgA,NA0012484499.IgA,NA0012484752.IgA,NA0012484765.IgA,NA0012483883.IgA,NA0012483591.IgA,NA0012483754.IgA,NA0012483419.IgA,NA0012483315.IgA,NA0012483311.IgA,NA0012483533.IgA,NA0012483544.IgA,NA0012484280.IgA,NA0012484311.IgA,NA0012484502.IgA,NA0012484569.IgA,NA0012484790.IgA,NA0012484774.IgA,NA0012483599.IgA,NA0012483640.IgA,NA0012483771.IgA,NA0012483450.IgA,NA0012483434.IgA,NA0012483665.IgA,NA0012483662.IgA,NA0012483506.IgA,NA0012484306.IgA,NA0012484290.IgA,NA0012484575.IgA,NA0012484591.IgA,NA0012484413.IgA,NA0012483568.IgA,NA0012483616.IgA,NA0012483847.IgA,NA0012483431.IgA,NA0012483435.IgA,NA0012483356.IgA,NA0012483684.IgA,NA0012483685.IgA,NA0012483529.IgA,NA0012484462.IgA,NA0012484472.IgA,NA0012484589.IgA,NA0012484753.IgA,NA0012483576.IgA,NA0012483571.IgA,NA0012483868.IgA,NA0012483872.IgA,NA0012483783.IgA,NA0012483775.IgA,NA0012483340.IgA,NA0012483326.IgA,NA0012483936.IgA,NA0012483955.IgA,NA0012483900.IgA,NA0012483963.IgA,NA0012484506.IgA,NA0012483948.IgA,NA0012484756.IgA,NA0012483967.IgA,NA0012483873.IgA,NA0012483793.IgA,NA0012483632.IgA,NA0012483808.IgA,NA0012483410.IgA,NA0012483816.IgA,NA0012483319.IgA,NA0012483833.IgA,NA0012483981.IgA,NA0012483821.IgA,NA0012483369.IgA,NA0012484009.IgA,NA0012484026.IgA,NA0012484107.IgA,NA0012484106.IgA,NA0012486630.IgA,NA0012486631.IgA,NA0012485588.IgA,NA0012485572.IgA,NA0012486098.IgA,NA0012486108.IgA,NA0012485736.IgA,NA0012486252.IgA,SFCOVC001.IgG,SFCOVC002.IgG,MN2909.IgG,JT1034.IgG,SFCOVC001.IgA,SFCOVC002.IgA,MN2909.IgA,JT1034.IgA,NA0012486560.IgG,NA0012486414.IgG,NA0012485598.IgG,NA0012486261.IgG,NA0012485765.IgG,NA0012485770.IgG,NA0012484121.IgG,NA0012485733.IgG,NA0012486658.IgG,NA0012485744.IgG,NA0012485589.IgG,NA0012485997.IgG,NA0012485604.IgG,NA0012486244.IgG,NA0012485726.IgG,NA0012484124.IgG,NA0012486397.IgG,NA0012486560.IgA,NA0012486414.IgA,NA0012485598.IgA,NA0012486261.IgA,NA0012485765.IgA,NA0012485770.IgA,NA0012484121.IgA,NA0012485733.IgA,NA0012486658.IgA,NA0012485744.IgA,NA0012485589.IgA,NA0012485997.IgA,NA0012485604.IgA,NA0012486244.IgA,NA0012485726.IgA,NA0012484124.IgA,NA0012486397.IgA,H002020302417.IgA,H002020302499.IgA,H002020302612.IgA,H002020302640.IgA,H002020302417.IgG,H002020302499.IgG,H002020302612.IgG,H002020302640.IgG,W12152080182600FPre13.IgG,W12152080182600FPre13.IgA,Ortho.1.IgA,Ortho.2.IgA,Ortho.3.IgA,Ortho.4.IgA,Ortho.6.IgA,Ortho.7.IgA,Ortho.8.IgA,Ortho.9.IgA,Ortho.10.IgA,Ortho.11.IgA,Ortho.12.IgA,Ortho.13.IgA,Ortho.14.IgA,Ortho.15.IgA,Ortho.16.IgA,Ortho.17.IgA,Ortho.18.IgA,Ortho.19.IgA,Ortho.20.IgA,Ortho.1.IgG,Ortho.2.IgG,Ortho.3.IgG,Ortho.4.IgG,Ortho.6.IgG,Ortho.7.IgG,Ortho.8.IgG,Ortho.9.IgG,Ortho.10.IgG,Ortho.11.IgG,Ortho.12.IgG,Ortho.13.IgG,Ortho.14.IgG,Ortho.15.IgG,Ortho.16.IgG,Ortho.17.IgG,Ortho.18.IgG,Ortho.19.IgG,Ortho.20.IgG
BUFFER.1,4,18.5,70,0,88,0,9,938.5,94,78.5,285.5,93.5,0,101.5,129.5,0,1.5,71.5,205,53,65.5,183.5,62.5,70.5,362,412,0,13,507,6.5,79,0,40.5,123.5,115,109.5,420.5,125,0,162.5,85.5,975,363,0,1,36,86,95.5,499.5,0,119,41,0,781.5,98.5,0,0,84.5,818.5,0,37.5,58,47,30,155,0,114.5,25,0,132.5,77.5,0,60.5,148.5,0,85,197,236.5,481,393,47,65.5,23,405.5,34,75.5,730,30,423.5,0,348,0,290.5,106,537.5,283,84.5,88,139,892.5,585,28,0,482.5,203.5,244,431.5,408.5,33,57,285,348.5,0,131.5,1323,248,28.5,0,420.5,500.5,381,463,407,183,0,1958.5,775,1143,493,184,582,0,473,0,0,0,1465,109.5,1050,675.5,448,106.5,23,229,1623.5,91.5,428.5,0,709,18,0,282,491,105,0,26.5,448,98.5,63,768.5,0,46,398,432,317,1384.5,625.5,1558.5,0,183,152.5,731,189,406,418.5,43,107,901.5,1287.5,47,20,200,0,326.5,144,0,133,80.5,114,1013,331.5,123.5,82,98.5,40,114,147.5,158,0,1904.5,572.5,105,599.5,317.5,0,557,0,0,507,258,4314.5,1356.5,0,371,0,61,0,0,0,78,0,0,44,22.5,72.5,7,0,0,56.5,73,473.5,0,240,1005,0,0,276.5,341.5,0,15.5,349.5,0,0,0,0,1287,0,0,0,24.5,65,73.5,73,60.5,61,86,254.5,181.5,43.5,0,0,0
BUFFER.2,0,0,0,1148,0,387,0,0,0,0,0,0,78.5,0,0,71.5,0,0,0,0,0,0,0,0,0,0,189.5,0,0,0,0,379.5,0,0,0,0,0,0,18.5,0,0,0,0,37.5,0,0,0,0,0,26.5,0,0,31.5,0,0,32.5,13,0,0,55,0,0,0,0,0,203,0,0,219.5,0,0,16.5,0,0,113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1347,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,596.5,0,0,0,0,107,0,0,0,0,0,0,160.5,0,0,0,0,0,0,322,0,38,250,246,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,10,0,0,0,597,0,0,0,0,0,15,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,103.5,0,156,385.5,0,0,0,0,152,0,537,0,268.5,22.5,59.5,0,193.5,59.5,0,0,0,0,16,56.5,0,0,0,144.5,0,0,6,21,0,0,167.5,0,0,25,3.5,47,130,0,177,536,334.5,0,0,0,0,0,0,0,0,0,0,164.5,14,316
DcCoV_HKU23-368F_NP.1,1169,427.5,810,8655,4391,4625,263,235.5,7792,2700.5,1713.5,1100.5,4721.5,1134.5,6323.5,6815.5,1591.5,1844.5,4124,3391,1130.5,412.5,880.5,3603.5,0,1781,3212.5,5283,10348,128.5,1244,1635.5,11455.5,805.5,470,6588.5,9416.5,1538,1503.5,5699.5,3557.5,2476,2501,9481.5,2103,1044,534,1703.5,538.5,1277.5,14622,9824,119.5,608.5,10634.5,2920.5,4089,7397.5,5482.5,4328,558.5,1043,137,215,1786,8263,163.5,4047,722.5,3073.5,5855.5,2567.5,1279.5,4695.5,1524.5,7897,0,315.5,474,2202,2801,1855.5,1144,1269.5,4453,3127.5,0,458,0,20,695,0,0,0,0,0,505.5,277,0,0,608,809,421,0,804.5,894,0,1080.5,294,192,0,251.5,0,173.5,1003,82,12.5,0,1000.5,68.5,0,4052,772,978,0,0,0,0,0,149,0,0,0,0,0,0,0,24.5,0,0,529,336.5,379,1128,0,442.5,0,0,0,1900,1824,0,0,372,0,0,2462,686.5,252,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1705,457.5,1919,0,1068.5,0,2796,8214,180,5688,14639.5,12374,12694,1712,5885.5,3194,1583,5199.5,6244.5,2689,4629.5,4636,4288,2065.5,574,246,0,1492.5,2798,1050.5,0,6142.5,0,1469,0,708,426,0,0,1010,1344,601,0,392.5,550.5,2979.5,2478,1079.5,3830.5,3115,182.5,1694.5,1074,0,1180.5,246.5,0,145.5,897.5,257,0,2325,572,0,5905.5,1621.5,2273.5,60.5,73,4538.5,4216,5180,0,2887,0,1260.5,1287.5,222,4374.5,2928,4538.5,3289,1292,1217.5,2980.5,3833.5,1117.5,541,9583
DcCoV_HKU23-368F_NP.2,1266,431.5,848,11463,3936,4048,194,380.5,6289,1491.5,4449.5,1039.5,4449.5,1294.5,10052.5,6295.5,1512.5,1504.5,2902,5094,1095.5,428.5,810.5,3669.5,62,1821,2420.5,3581,9850,270.5,1640,2690.5,8579.5,679.5,263,6780.5,7872.5,1836,2567.5,4827.5,4755.5,2125,2115,9843.5,2173,1827,454,2057.5,307.5,1406.5,10696,9543,18.5,378.5,7052.5,2900.5,3303,4987.5,5009.5,3585,833.5,1032,301,315,1237,8067,239.5,4716,1024.5,6099.5,3402.5,2288.5,787.5,4420.5,1567.5,7484,2,471.5,33,1692,2633,1600.5,1144,1514.5,5475,3216.5,0,584,0,909,737,0,0,0,468.5,526,2588.5,782,0,0,191,609,500,1.5,0,1971,0,384.5,697,147,1153,0,0,227.5,1007,0,0,0,838.5,251.5,0,4237,275,311,655.5,0,526,0,0,873,0,301,0,559,0,0,0,526.5,0,0,0,333.5,188,210,0,0,0,0,0,3544,1390,0,0,525,353,0,2653,611.5,0,0,0,0,0,0,0,0,0,0,805,0,415.5,0,784,2628,546.5,1791,0,0,0,1745,7180,119,2228,11201.5,12804,8383,1912,3069.5,2807,635,5571.5,3663.5,2052,4430.5,5688,4476,1766.5,803,0,0,2495.5,2201,0,110.5,2624.5,0,0,218.5,0,173,0,0,4439,1107,0,0,947.5,760.5,3139.5,1251,1627.5,1871.5,3202,404.5,490.5,1170,0,2066.5,1077.5,962,839.5,583.5,1212,0,1293,1250,427.5,7126.5,1548.5,2685.5,681.5,1332,6128.5,3305,6693,990,3497,0,2129.5,1485.5,464,5889.5,0,1858.5,4037,1269,919.5,2600.5,3783.5,2019.5,1321,10073
DcCoV_HKU23-368F_NP.3,1520,677.5,1174,13524,5269,4454,282,359.5,7045,2612.5,5436.5,1261.5,4662.5,1476.5,10727.5,7196.5,1925.5,1311.5,4100,2769,1195.5,478.5,991.5,5201.5,265,2679,3069.5,4141,12573,277.5,1931,999.5,12849.5,699.5,311,7591.5,8755.5,2360,2256.5,7358.5,4849.5,3197,3172,10756.5,3235,1821,444,2203.5,906.5,1945.5,11596,12403,109.5,1609.5,10006.5,3616.5,4097,9028.5,4473.5,6824,1124.5,1960,92,329,2412,4879,199.5,6069,1093.5,8697.5,4389.5,2964.5,378.5,6795.5,2524.5,9861,287,717.5,274,2250,2913,2204.5,1530,2152.5,6489,2995.5,0,461,0,1075,505,0,0,0,166.5,0,2898.5,285,0,0,667,1383,872,0,273.5,1294,0,435.5,0,433,1116,746.5,0,620.5,3619,87,267.5,0,1780.5,0,0,5555,167,1216,33.5,0,0,0,0,345,0,0,0,0,0,0,0,480.5,0,0,691,317.5,759,1401,0,334.5,0,0,0,2656,2742,0,0,605,0,0,2064,688.5,0,0,0,0,0,162,0,0,0,0,0,0,0,23,1196,2289,822.5,1977,2,0,0,1822,9422,355,5578,16566.5,12410,14323,2468,4526.5,3980,1870,7764.5,5550.5,3116,7376.5,5015,5240,3045.5,1072,0,0,2527.5,2916,1312.5,122.5,561.5,0,1210,842.5,0,530,0,0,1718,2241,0,176,0,512.5,7265.5,4515,470.5,3260.5,4237,470.5,1675.5,859,0,1737.5,1074.5,1352,1471.5,1065.5,6028,593,2310,1174,1747.5,10853.5,3697.5,2751.5,287.5,1049,8328.5,4183,6833,9231,3967,0,3660.5,2748.5,258,20091.5,9379,2590.5,4063,1752,1393.5,3707.5,3728.5,2719.5,2161,12372
DcCoV_HKU23-368F_NP.4,1816,529.5,1956,10523,2585,3884,82,238.5,8348,2737.5,6265.5,1527.5,2889.5,1738.5,5636.5,6348.5,2901.5,1819.5,4926,2481,1109.5,783.5,980.5,3488.5,0,2552,2470.5,4561,12091,239.5,2278,948.5,12934.5,729.5,426,11734.5,8296.5,3651,3303.5,5182.5,5621.5,1496,3565,11832.5,3648,1808,460,1726.5,671.5,2652.5,8301,15091,98.5,1850.5,7336.5,4224.5,4342,7059.5,7388.5,5371,1344.5,1928,119,272,2902,9947,128.5,5265,1642.5,7634.5,2648.5,2848.5,1002.5,7894.5,2624.5,14986,116,421.5,669,2487,4677,2609.5,2031,3899.5,8299,3712.5,0,188,0,1252,360,0,0,0,274.5,594,4959.5,748,0,0,0,85,25,152.5,0,1790,0,0,442,195,1821,1249.5,0,66.5,2242,0,0,0,2665.5,3.5,0,8224,0,765,739.5,0,0,0,0,693,0,63,0,110,0,0,0,548.5,0,0,1009,322.5,834,1580,0,321.5,331.5,8.5,0,2640,3107,0,0,211,584,0,1123,520.5,0,0,0,0,192,317,315,0,0,0,643,0,21.5,212,1185,2133,865.5,3393,0,996.5,0,2682,7949,243,6048,9843.5,13676,9070,1756,3129.5,5018,1645,3243.5,4618.5,5354,4556.5,5479,5298,2967.5,1456,0,0,3071.5,3855,301.5,0,0,0,0,0,0,1093,0,0,0,2127,0,0,533.5,416.5,9078.5,4220,1956.5,3321.5,5214,905.5,2461.5,257,0,2140.5,354.5,1350,1916.5,2300.5,20,1254,1303,1041,369.5,7866.5,2800.5,2374.5,0,1011,8098.5,4956,3147,3256,5854,0,4566.5,3025.5,922,20477.5,9767,2168.5,7147,1646,912.5,3349.5,3552.5,1121.5,2467,14291
H1N1_A/Beijing/22808/2009_HA1.1,10495,2372.5,4757,2550,987,3449,3453,452.5,2025,7609.5,1810.5,1244.5,1799.5,1992.5,2379.5,3630.5,2811.5,2601.5,5360,1932,5506.5,1516.5,2537.5,3976.5,1367,2194,4051.5,4677,1153,3436.5,1171,1603.5,2310.5,2302.5,1179,4384.5,4820.5,1311,1986.5,2352.5,2036.5,672,9776,6894.5,4811,2005,2543,183.5,809.5,10059.5,4554,4608,8075.5,7865.5,2361.5,3829.5,6422,3974.5,3625.5,5039,1054.5,2740,1020,3719,3775,3224,3202.5,4978,2932.5,5905.5,1254.5,8296.5,5187.5,9282.5,7410.5,6883,3370,4025.5,2518,3764,631,11422.5,5567,10692.5,1474,9516.5,0,2433,0,0,0,1737,421.5,0,0,321,108.5,0,0,1261.5,289,6437,0,682.5,1076.5,232,274.5,853.5,805,5925,1404,436.5,0,2705.5,0,10245,0,1530,0,0,0,1288,259,0,3936.5,249.5,0,337,2122,229,0,0,735,0,229,0,147,502.5,0,1651.5,0,4569.5,0,85,0,0,0,0,0,350,254,2513,439,688,521,67.5,0,919.5,640,0,1660,0,1022,0,372,0,0,6733.5,195,403,0,842,2696,813,4705.5,1836,0,0,0,279,2938,5381,1263,2418.5,3311,3274,588,1115.5,1364,3013,2227.5,5766.5,4380,7178.5,965,3080,8279.5,0,1812,0,598.5,1436,208.5,191.5,4580.5,0,1407,2446.5,256,3508,0,0,448,2049,167,596,162.5,1156.5,2302.5,0,1473.5,4944.5,805,0,0,0,0,679.5,651.5,569,941.5,932.5,442,1587,0,0,0,0,612.5,1690.5,411.5,154,102.5,146,660,0,382,4778,1164.5,425.5,5196,5535.5,4435,19.5,651,7200,824.5,11988.5,869.5,7760.5,281,1756
H1N1_A/Beijing/22808/2009_HA1.2,9551,3431.5,4545,4250,1498,6145,4813,856.5,2243,8353.5,4042.5,509.5,374.5,5492.5,2219.5,4544.5,4905.5,4056.5,2083,4514,6135.5,1758.5,3947.5,4188.5,2298,1832,2474.5,2034,920,4567.5,1180,6611.5,3753.5,2956.5,1574,4481.5,4641.5,845,2470.5,2191.5,3310.5,195,5449,7197.5,4386,7623,1147,218.5,0,10481.5,2386,7044,6506.5,9719.5,2244.5,4494.5,5407,2893.5,717.5,5839,283.5,6959,370,3796,2176,2858,1246.5,4858,3368.5,12698.5,751.5,10678.5,6839.5,9174.5,11388.5,7942,3406,5246.5,5473,6926,392,8433.5,5314,7721.5,1095,14738.5,0,3333,173.5,582,468,2484,154.5,0,0,649,514.5,0,0,4237.5,188,7503,42,75.5,1010.5,760,0,1403.5,942,6543,1730,405.5,0,398.5,0,13377,0,7945,764.5,238.5,0,1552,1109,0,4754.5,0,0,0,0,373,0,1924,0,0,0,461,0,67.5,0,3116.5,0,5273.5,0,168,0,0,0,584.5,0,0,0,4100,0,385,0,1219.5,0,814.5,287,1011.5,2972,607,317,0,2079,0,0,4247.5,385,219,557.5,238,311,305,836.5,1283,0,0,0,209,2649,3934,1360,1629.5,2434,2015,228,534.5,314,4059,384.5,4804.5,2403,2254.5,244,2298,4175.5,0,967,0,352.5,0,0,247.5,0,0,1896,0,0,1649,0,0,0,526,0,0,1467.5,199.5,2357.5,0,2769.5,2904.5,792,0,256.5,0,0,188.5,161.5,647,1030.5,136.5,3626,1136,128,139,0,0,1160.5,3628.5,0,471,0,724,582,0,992,3458,1331.5,762.5,5157,15107.5,7118,104.5,1098,5552,814.5,9842.5,901.5,9943.5,383,1310
H1N1_A/Beijing/22808/2009_HA1.3,6285,4714.5,5506,4804,2965,6338,4017,432.5,2505,6385.5,6972.5,2329.5,2722.5,7556.5,6123.5,5438.5,6133.5,4772.5,2479,5021,2310.5,1431.5,3295.5,3975.5,2145,2972,8370.5,6236,3204,5272.5,1996,8919.5,3509.5,3535.5,2222,3537.5,10552.5,1220,6689.5,3443.5,3543.5,0,12765,10946.5,5400,5033,1273,178.5,737.5,12031.5,2440,8829,9653.5,9805.5,3003.5,4116.5,6742,5532.5,1132.5,5895,1255.5,3513,464,4640,3814,4298,1048.5,4768,4279.5,10440.5,950.5,8219.5,8496.5,14509.5,10521.5,8115,4643,4801.5,5322,7606,1348,5549.5,6276,9798.5,892,12942.5,0,3076,373.5,1147,501,1000,126.5,0,0,318,1048.5,157,0,6230.5,2168,8270,499,302.5,1438.5,891,0,1237.5,1265,4999,1875,818.5,1859.5,2036.5,0,13814,0,7850,34.5,0,0,1408,978,86,5453.5,444.5,916,0,3728,570,0,1153,220,238,0,446,0,806.5,0,2858.5,0,4970.5,0,716,0,0,0,0,0,295,0,3113,0,848,0,228.5,592,612.5,284,3620.5,1711,0,825,0,722,0,0,3661.5,381,25,0,148,1640,1508,2426.5,2215,0,0,0,200,4562,5933,1749,3528.5,7517,7527,1293,2790.5,1376,4362,9513.5,10618.5,3446,8613.5,1345,4638,8785.5,399,2106,0,1116.5,1908,2198.5,389.5,8090.5,0,3696,4641.5,241,2586,728.5,0,1393,1500,0,0,675.5,341.5,3239.5,339,1924.5,3609.5,1338,0,828.5,0,0,167.5,1486.5,1290,2273.5,1114.5,1474,10500,0,0,95.5,477.5,71.5,1985.5,608.5,862,0,2634,14717,1395,3677,15251,3526.5,2748.5,9026,19162.5,8916,807.5,1464,10131,1110.5,5026.5,661.5,14747.5,740,2662
H1N1_A/Beijing/22808/2009_HA1.4,3761,5786.5,6497,2782,2414,7808,5694,697.5,3014,11009.5,2677.5,3293.5,3253.5,5382.5,3151.5,4752.5,7872.5,5116.5,3208,5205,3916.5,1850.5,3418.5,4341.5,2148,3890,9320.5,7058,2169,6089.5,2178,7279.5,4363.5,4304.5,2034,6459.5,9199.5,1816,2707.5,3592.5,4959.5,0,8581,11260.5,6157,6201,1900,424.5,308.5,12970.5,4693,9037,9061.5,11071.5,3485.5,5573.5,5399,7557.5,2403.5,6902,1316.5,4968,439,2929,5331,3895,1475.5,6804,4881.5,12148.5,1361.5,11236.5,7220.5,12762.5,10765.5,9046,11185,2867.5,6547,7159,623,9211.5,6322,13821.5,1549,12953.5,0,4662,881.5,1105,0,1040,1269.5,0,0,560,0,202,90,3693.5,844,6936,343,483.5,903.5,1102,323.5,968.5,825,3972,1573,866.5,125.5,2681.5,0,16076,0,4042,0,241.5,0,2303,800,262,3356.5,743.5,0,0,173,415,0,346,0,0,93,991,273,832.5,0,3208.5,0,6286.5,0,1651,0,0,278.5,0,0,0,496,2517,0,1323,109,0,1183,1057.5,415,2715.5,2129,0,2503,0,1301,0,0,3207.5,431,500,0,0,3642,2017,3078.5,1800,0,0,0,621,4471,5087,1476,2705.5,5193,9453,751,2584.5,1151,5909,2625.5,6860.5,3713,3697.5,987,3780,7027.5,565,1424,0,594.5,1355,893.5,0,2573.5,0,1836,2558.5,0,3046,0,0,0,530,0,0,1762.5,256.5,3717.5,0,4050.5,3863.5,2429,255.5,21.5,16459,0,409.5,2331.5,1067,1844.5,1936.5,0,0,168,0,5.5,0,1457.5,2461.5,715.5,1269,1204.5,2000,15038,2119,3834,15927,3238.5,1179.5,12422,21747.5,2399,1293.5,1751,12396,1233.5,16315.5,1518.5,18775.5,1545,5711
H1N1_A/Beijing/22808/2009_HA1+HA2.1,4323,6147.5,8567,9207,2396,9239,2515,11421.5,2931,14318.5,9773.5,4835.5,3392.5,10902.5,8549.5,7847.5,11786.5,9299.5,4351,9843,11177.5,6216.5,9809.5,10302.5,3861,4418,12375.5,10779,2379,7971.5,5381,9391.5,5876.5,6697.5,5346,7464.5,13088.5,5155,6406.5,5612.5,8921.5,452,15421,14821.5,9177,5408,7793,815.5,2707.5,13939.5,7261,15631,12835.5,17820.5,3952.5,11627.5,10634,8171.5,10706.5,12445,2860.5,6219,1730,12254,7644,8622,8323.5,11409,7335.5,21127.5,2452.5,14765.5,11438.5,20720.5,13454.5,14565,6745,4448.5,12022,9831,2697,13981.5,11549,14293.5,5321,21781.5,0,2395,239.5,1841,454,0,447.5,0,651.5,0,540.5,146,89,6617.5,2748,2487,989,671.5,2047.5,1027,409.5,2050.5,2243,5316,608,774.5,0,2763.5,0,11571,71.5,322,303.5,223.5,0,2270,693,695,0,1614.5,30,0,0,0,0,587,569,413,0,0,1311,975.5,0,3964.5,0,7248.5,0,703,0,0,0,0,0,234,257,2177,1104,1418,0,996.5,292,491.5,329,0,650,0,2385,0,1476,0,0,7960.5,1505,547,581.5,1063,7149,6639,4487.5,5171,691,0,0,2976,7605,8996,4044,7066.5,14476,10382,2901,2278.5,5196,10261,9229.5,16234.5,11548,14091.5,4754,8316,12108.5,2641,5233,0,5033.5,5937,961.5,748.5,549.5,0,1607,581.5,835,7297,0,713.5,0,2223,141,3336,4433.5,2084.5,21349.5,8971,11583.5,17299.5,7387,117.5,298.5,279,0,861.5,7266.5,1706,2596.5,4637.5,1576,6141,3727,0,3512.5,382.5,6563.5,1669.5,2312.5,2979,1110.5,2820,9044,2108,8957,23249,6746.5,3179.5,19156,15406.5,19573,4107.5,3990,21417,6848.5,27305.5,6263.5,24451.5,4926,10244
H1N1_A/Beijing/22808/2009_HA1+HA2.2,17558,7806.5,11728,4252,4551,9627,12682,1299.5,4751,16576.5,11907.5,6083.5,9398.5,8060.5,13326.5,7735.5,10659.5,8231.5,3158,14226,17939.5,2776.5,5633.5,9067.5,6743,5399,8779.5,13579,350,9588.5,6526,6202.5,15338.5,4658.5,6155,4621.5,19286.5,5336,6095.5,5285.5,8999.5,1032,14716,13404.5,6880,4513,2289,932.5,6457.5,9364.5,3609,11709,23039.5,17850.5,4941.5,11364.5,14520,14484.5,11258.5,14197,5063.5,4876,1289,4391,13911,7535,5843.5,12498,10399.5,16365.5,3080.5,17989.5,14144.5,16581.5,12843.5,18864,7472,17864.5,6477,18796,1738,20864.5,13396,13195.5,2571,18599.5,0,3827,33.5,1348,821,0,1742.5,0,989.5,897,0,0,368,3170.5,2792,2677,635,0,865.5,704,0,904.5,1246,3458,1532,653.5,0,2473.5,0,13585,0,1008,859.5,0,0,1524,385,0,0,1070.5,0,0,0,98,0,414,0,0,0,0,0,743.5,0,4050.5,0,7962.5,0,2215,0,0,0,0,0,545,751,2046,150,2689,0,1065.5,394,1332.5,834,0,1191,0,2618,377,1813,0,0,10136.5,541,324,0,1147,10612,5485,4796.5,12695,325,0,0,3648,6253,13059,7122,15030.5,6874,5849,5966,5082.5,8936,14685,4376.5,16565.5,10237,13443.5,2980,10247,12749.5,1605,7111,0,6416.5,4203,2251.5,1035.5,36.5,481,6263,2195.5,541,9563,1818.5,0,368,3306,0,1469,15531.5,1069.5,13211.5,5227,16589.5,12713.5,7691,285.5,553.5,344,0,789.5,5808.5,3944,4469.5,4625.5,3249,12450,1889,103,1774.5,0,4706.5,1606.5,1842.5,2816,0,3306,11000,4453,8543,16560,10256.5,7102.5,17986,24038.5,27678,4437.5,5787,22658,6250.5,21614.5,3311.5,20688.5,5602,9317
